stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding
5017F-CAMINUNID8,,CAMINO A SAN PEDRO MÁRTIR - UNIDAD FOVISSSTE ,,19.27411132,-99.16176081,,,0,,0
50115-CAMINCHIL3,,CAMINO A SANTA FE - CHILENOS,,19.38823864,-99.21366692,,,0,,0
50115-CAMINCOST3,,CAMINO A SANTA FE - COSTARRICENSES,,19.38907863,-99.21155334,,,0,,0
50115-CAMINCRIS5,,CAMINO A SANTA FE - CRISTO REY,,19.39027283,-99.2088604,,,0,,0
50115-_CAMIN_DE__L9,,CAMINO A SANTA FE - DE LA LAJA,,19.38376536,-99.23141241,,,0,,0
50115-CAMINMIGU2,,CAMINO A SANTA FE - MIGUEL ALEMÁN,,19.38418031,-99.22995329,,,0,,0
50115-_CAMIN_PAS_M0,,CAMINO A SANTA FE - PASO DE MONO,,19.38458513,-99.22847271,,,0,,0
50115-_CAMIN_PRI_N2,,CAMINO A SANTA FE - PRIMERO DE NOVIEMBRE,,19.39016151,-99.20563102,,,0,,0
50115-CAMINQUER8,,CAMINO A SANTA FE - QUERETANOS,,19.38742901,-99.21579123,,,0,,0
50115-CAMINSANT2,,CAMINO A SANTA FE - SANTA ISABEL,,19.38515189,-99.22694921,,,0,,0
50115-CAMINTLAX8,,CAMINO A SANTA FE - TLAXCALTECAS,,19.38668009,-99.21825886,,,0,,0
50115-CAMINTURI1,,CAMINO A SANTA FE - TURINESES,,19.39054608,-99.20735836,,,0,,0
50115-CAMINUNID6,,CAMINO A SANTA FE - UNIDAD HABITACIONAL BELÉN ,,19.38590081,-99.22478199,,,0,,0
50115-CAMINURUG8,,CAMINO A SANTA FE - URUGUAYOS,,19.38869406,-99.21251893,,,0,,0
5119B-CAMIN_DEL3,,CAMINO A SANTA LUCIA -  DEL ROSAL,,19.37318889,-99.20630693,,,0,,0
5119B-CAMINCALL2,,CAMINO A SANTA LUCIA - CALLE 10,,19.37298647,-99.20763731,,,0,,0
5119B-CAMINCALL1,,CAMINO A SANTA LUCIA - CALLE 20,,19.37490951,-99.20341015,,,0,,0
5145A-_CAMIN_20__N8,,CAMINO A SANTIAGO - 20 DE NOVIEMBRE,,19.26836894,-99.12729979,,,0,,0
5145A-CAMINACUE8,,CAMINO A SANTIAGO - ACUEDUCTO,,19.25876746,-99.12356615,,,0,,0
5145A-CAMIN_MÉX7,,CAMINO A SANTIAGO -  MÉXICO,,19.26613067,-99.12631273,,,0,,0
5145A-CAMINDEPO8,,CAMINO A SANTIAGO - DEPORTIVO CRUZ AZUL,,19.26211994,-99.12516475,,,0,,0
5145A-CAMINRÍO_1,,CAMINO A SANTIAGO - RÍO TITLA,,19.25400703,-99.12116289,,,0,,0
5110B-CAMINHIDE1,,CAMINO DE HILA  LEANDRO VALLE - CAMINO DE HILA,,19.32738336,-99.32851911,,,0,,0
40005-CAMINLA_U7,,CAMINO DE LA UNIÓN,San Felipe Metro Hidalgo,19.48272044,-99.07624775,,,0,,0
50043-CAMINLACA8,,CAMINO DE LA UNIÓN  - CAMINO DE LA  COOPERACIÓN,,19.48813688,-99.07528639,,,0,,0
50043-CAMINLACA9,,CAMINO DE LA UNIÓN  - CAMINO DE LA LIGA,,19.47903386,-99.07783985,,,0,,0
50043-CAMINLACA0,,CAMINO DE LA UNIÓN  - CAMINO PARQUE CENTRAL,,19.48577015,-99.07571554,,,0,,0
50043-CAMINLAES1,,CAMINO DE LA UNIÓN  - ESTADO DE TLAXCALA,,19.48404059,-99.07597303,,,0,,0
40005-CAMINLIGA7,,CAMINO DE LIGA,San Felipe Metro Hidalgo,19.47918306,-99.07783539,,,0,,0
50112-CAMINMI_C8,,CAMINO DE MINA -  CHICAGO,,19.38089106,-99.20792699,,,0,,0
50112-CAMINMIMA0,,CAMINO DE MINA - MATAGALPINOS,,19.38147807,-99.20538425,,,0,,0
40005-CAMINSAN_6,,CAMINO DE SAN JUAN DE ARAGÓN,San Felipe Metro Hidalgo,19.47368107,-99.07924451,,,0,,0
500R7-CAMINLOS_4,,CAMINO DESIERTO DE LOS LEONES,DescripciÃ³n ,19.34874249,-99.19078703,,,0,,0
5161D-CAMINHIDA4,,CAMINO REAL - HIDALGO,,19.32999538,-99.03286457,,,0,,0
50141-_CAMIN_JUA_L8,,CAMINO REAL - JUAN DE LA BARRERA,,19.2393501,-98.99811387,,,0,,0
5161D-CAMINMORE5,,CAMINO REAL - MORELOS,,19.32826416,-99.0312767,,,0,,0
5161D-CAMINNUEV8,,CAMINO REAL - NUEVO LEÓN,,19.32821354,-99.03143764,,,0,,0
5161D-CAMINPOZO4,,CAMINO REAL - POZOS,,19.33096729,-99.03428078,,,0,,0
5161D-CAMINTLAX9,,CAMINO REAL - TLAXCALA,,19.32971191,-99.03252125,,,0,,0
5161D-CAMINTRIG7,,CAMINO REAL - TRIGAL,,19.33012699,-99.03324008,,,0,,0
50115-CAMINCANA5,,CAMINO REAL A TOLUCA - CANARIO,,19.39625381,-99.19265985,,,0,,0
50115-CAMINESCU1,,CAMINO REAL A TOLUCA - ESCUADRÓN 201,,19.39030319,-99.20207977,,,0,,0
50115-CAMINGARZ7,,CAMINO REAL A TOLUCA - GARZA,,19.39656753,-99.19190884,,,0,,0
50115-CAMINJARD9,,CAMINO REAL A TOLUCA - JARDÍN,,19.39443222,-99.19538498,,,0,,0
50115-CAMINJILG8,,CAMINO REAL A TOLUCA - JILGUERO ,,19.39562638,-99.19381857,,,0,,0
50115-CAMINPARA9,,CAMINO REAL A TOLUCA - PARALELA 3,,19.39305589,-99.19770241,,,0,,0
50115-CAMINPARA5,,CAMINO REAL A TOLUCA - PARALELA 7,,19.39113305,-99.20087814,,,0,,0
5123A-CAMINCORÍ8,,CAMINO REAL DE CONTRERAS - RÍO MAGDALENA,,19.30209118,-99.23281789,,,0,,0
5123A-CAMINCORÍ5,,CAMINO REAL DE CONTRERAS - RÍO MAGDALENA_1,,19.3038328,-99.23469543,,,0,,0
500R5-CAMINARAG1,,CAMINO SAN JUAN DE ARAGÓN ,DescripciÃ³n ,19.47482182,-99.08839939,,,0,,0
40005-CAMINO_SU3,,CAMINO SUR,San Felipe Metro Hidalgo,19.48169063,-99.07685741,,,0,,0
50043-_CAMIN_VIL_A9,,CAMINO UNIÓN  - VILLA DE AYALA,,19.4897248,-99.07308698,,,0,,0
1SAUS-CAMPECHE1,,CAMPECHE,,19.40826571,-99.17182446,,,0,,0
300L1-CAMPECHE_5,,CAMPECHE_1,EstaciÃ³n de MetrobÃºs. LÃ­nea 1,19.409693,-99.16732,,,0,,1
1CISE-CAMPECHE_8,,CAMPECHE_1_2,ParabÃºs Campeche,19.40944964,-99.16751146,,,0,,0
1CISE-CAMPECHE_6,,CAMPECHE_1_3,ParabÃºs Coahuila,19.41030977,-99.16681409,,,0,,0
50164-CAMPEOAXA0,,CAMPECHE  - OAXACA,,19.33884354,-98.99980903,,,0,,0
50107-CAMPOREFI5,,CAMPO NUEVO LIMÓN - REFINERIA AZCAPOTZALCO,,19.49150487,-99.18820739,,,0,,0
40006-CAMPOS_EL0,,CAMPOS ELÍSEOS,Rosario Chapultepec,19.42884221,-99.18020595,,,0,,0
5162D-CANALCHAL3,,CANAL CANAL DE CHALCO - ALDAMA,,19.29008159,-99.0752542,,,0,,0
5162D-CANALCHAN8,,CANAL DE CHALCO - ANILLO PERIFÉRICO CANAL DE GARAY,,19.30412644,-99.08691645,,,0,,0
5162D-CANALCH_D7,,CANAL DE CHALCO -  DE LAS TORRES,,19.29964073,-99.08319354,,,0,,0
5162D-CANALCHCA7,,CANAL DE CHALCO - CALLE 2,,19.30346828,-99.08599377,,,0,,0
5162D-CANALCHCA8,,CANAL DE CHALCO - CALLE 8,,19.30229369,-99.08523202,,,0,,0
5162D-CANALCHPI5,,CANAL DE CHALCO - PIRAÑA ,,19.28481573,-99.06895638,,,0,,0
5162D-CANALCHRÍ6,,CANAL DE CHALCO - RÍO BALSAS,,19.29735226,-99.08130527,,,0,,0
5162D-CANALCHRÍ3,,CANAL DE CHALCO - RÍO FUERTE,,19.29489161,-99.07934189,,,0,,0
5162D-CANALCHZA7,,CANAL DE CHALCO - ZAPATA / DEPORTIVO GALLEGOS,,19.29270433,-99.07738924,,,0,,0
50037-CANALDEFL5,,CANAL DE DESFOGUE - FLOR DE LIS,,19.50337825,-99.09062862,,,0,,0
50037-CANALDEMA6,,CANAL DE DESFOGUE - MARGARITA,,19.50537054,-99.09209847,,,0,,0
40007-CANALMIRA5,,CANAL DE MIRAMONTES,San Francisco,19.34126304,-99.13706303,,,0,,0
5039A-CANALMICA9,,CANAL DE MIRAMONTES - CARRETA,Parabus bajando las escalinatas del Puente Peatonal pasando la Calle,19.28861324,-99.12614107,,,0,,0
5039A-CANALMIEL4,,CANAL DE MIRAMONTES - EL CÁNTARO,Parabus en esquina de la Calle,19.29028412,-99.12606597,,,0,,0
5039A-CANALMIEL6,,CANAL DE MIRAMONTES - EL FAROL,En la esquina de la Calle,19.2881778,-99.12591577,,,0,,0
5039A-CANALMILA7,,CANAL DE MIRAMONTES - LA VEREDA,Bajo Puente Peatonal a un costado de la Bodega Aurrera ,19.29094234,-99.12565827,,,0,,0
1SAUS-CANALRÍO_9,,CANAL DE RÍO CHURUBUSCO,,19.40679842,-99.0786767,,,0,,0
1SAUS-CANALRÍO_3,,CANAL DE RÍO CHURUBUSCO_1,,19.39368333,-99.0862298,,,0,,0
1SAUS-CANALSAN_1,,CANAL DE SAN JUAN,,19.38959477,-99.05998707,,,0,,0
1SAUS-CANALSAN_0,,CANAL DE SAN JUAN_1,,19.38964537,-99.05891418,,,0,,0
300L2-CANALSAN_2,,CANAL DE SAN JUAN_1_2,EstaciÃ³n de MetrobÃºs. LÃ­nea 2,19.396456,-99.056015,,,0,,1
200LA-CANALSAN_5,,CANAL DE SAN JUAN_1_3,Metro A,19.39821706,-99.05969739,,,0,,0
50043-CANALTECA7,,CANAL DE TEZONTLE - CALLE 47,,19.38452441,-99.09632564,,,0,,0
50043-CANALTEEJ5,,CANAL DE TEZONTLE - EJE 4 ORIENTE  RÍO CHURUBUSCO,,19.38388681,-99.09321427,,,0,,0
50043-CANALTEEJ6,,CANAL DE TEZONTLE - EJE 4 ORIENTE  RÍO CHURUBUSCO_1,,19.38557695,-99.0999198,,,0,,0
